gene_id,gene_name,chromosome,is_X,is_Y,CO_Mega,TE_mean
AKR7A2,AKR7A2,1,0,0,-2.09220865037309,-0.760227763098271
SLC66A1,SLC66A1,1,0,0,-1.7701297408034389,-1.62006748385312
CAPZB,CAPZB,1,0,0,-0.7212414514320056,0.618300208522636
MICOS10,MICOS10,1,0,0,1.267153603530378,-0.81337768965643
NBL1,NBL1,1,0,0,-3.5418208956564765,
HTR6,HTR6,1,0,0,-2.4312928880618117,
TMCO4,TMCO4,1,0,0,-1.904642739048585,-2.21257534307361
RNF186,RNF186,1,0,0,-2.367378739032823,
OTUD3,OTUD3,1,0,0,-1.3626075303455032,-3.17169015233335
PLA2G2E,PLA2G2E,1,0,0,-1.0876712999209204,
PLA2G2A,PLA2G2A,1,0,0,-0.24872175159302223,1.26246612350547
PLA2G5,PLA2G5,1,0,0,-0.8398341266309508,-3.55347945470036
PLA2G2D,PLA2G2D,1,0,0,-1.287118307023908,
PLA2G2F,PLA2G2F,1,0,0,-1.8430254822206535,
PLA2G2C,PLA2G2C,1,0,0,-2.053275661241287,
UBXN10,UBXN10,1,0,0,-1.8511412169597108,-1.07571049153413
VWA5B1,VWA5B1,1,0,0,-2.3019226210980506,
CAMK2N1,CAMK2N1,1,0,0,-1.4996351688586067,-2.10933842291685
MUL1,MUL1,1,0,0,-1.6994755849812542,-0.997143378271048
FAM43B,FAM43B,1,0,0,-3.063342889845888,-2.44563753023407
CDA,CDA,1,0,0,-1.2087429277292454,-0.435702352229035
PINK1,PINK1,1,0,0,-1.9230951352260757,-1.89139087323737
DDOST,DDOST,1,0,0,-1.0956668612049292,-0.280998415552883
KIF17,KIF17,1,0,0,-2.6232045394149086,
SH2D5,SH2D5,1,0,0,-3.1604727542929005,
HP1BP3,HP1BP3,1,0,0,-0.5307835063911543,-0.352627020724295
EIF4G3,EIF4G3,1,0,0,-0.670213959190125,-1.78195999473346
ECE1,ECE1,1,0,0,-1.6016293438444862,-0.566154794518207
NBPF3,NBPF3,1,0,0,-1.6754158110544939,
ALPL,ALPL,1,0,0,-1.7610658626036706,-1.6279269860469
RAP1GAP,RAP1GAP,1,0,0,-2.3494798025995696,-2.9236970351405
USP48,USP48,1,0,0,0.3602655423233312,-0.505150582807203
LDLRAD2,LDLRAD2,1,0,0,-2.316071066599699,
HSPG2,HSPG2,1,0,0,-2.9992169663183077,-1.64216537278619
CELA3B,CELA3B,1,0,0,-1.9769514664288508,
CELA3A,CELA3A,1,0,0,-1.7156428388829728,
CDC42,CDC42,1,0,0,0.7897123220192306,0.41579834304376
WNT4,WNT4,1,0,0,-2.5858232168825417,
ZBTB40,ZBTB40,1,0,0,-1.2396724229268283,-1.79338864659505
EPHA8,EPHA8,1,0,0,-2.500536183381067,
C1QA,C1QA,1,0,0,-2.4572727619730887,-0.61224230677259
C1QC,C1QC,1,0,0,-2.2580384208110473,-0.228150734630806
C1QB,C1QB,1,0,0,-1.6869196993716287,-0.602081121583211
EPHB2,EPHB2,1,0,0,-1.5153796241963775,
LACTBL1,LACTBL1,1,0,0,-2.2624436404845554,
TEX46,TEX46,1,0,0,-0.9644517978998639,
KDM1A,KDM1A,1,0,0,-0.38631759356831985,-0.651030337321473
LUZP1,LUZP1,1,0,0,-1.6069676788302178,-1.28203412629237
HTR1D,HTR1D,1,0,0,-1.4627337572716979,
HNRNPR,HNRNPR,1,0,0,0.5792337037450181,-0.249428110600416
ZNF436,ZNF436,1,0,0,-1.6540437410492572,-0.529200681047217
TCEA3,TCEA3,1,0,0,-1.6299443883463098,-1.32801948010536
ASAP3,ASAP3,1,0,0,-2.6013272766801414,-2.21826034932836
E2F2,E2F2,1,0,0,-2.6741117479654406,
ID3,ID3,1,0,0,-2.4074030395856454,-1.26933123597109
RPL11,RPL11,1,0,0,-0.7692571082308373,-2.07657960989994
ELOA,ELOA,1,0,0,-1.4308818800382141,-1.62779658077653
PITHD1,PITHD1,1,0,0,-1.124465371602117,-0.131567583566024
LYPLA2,LYPLA2,1,0,0,-1.7108481005270946,-0.853296571459047
GALE,GALE,1,0,0,-1.3282734066813422,-0.429734576428547
HMGCL,HMGCL,1,0,0,-0.08750128798986445,0.372409125560704
FUCA1,FUCA1,1,0,0,-0.11013726340591568,0.919375241626901
CNR2,CNR2,1,0,0,-0.7998810530274039,
PNRC2,PNRC2,1,0,0,0.05428151149817673,-3.21706853506953
SRSF10,SRSF10,1,0,0,-0.5944240003045174,0.433469662478961
MYOM3,MYOM3,1,0,0,-1.905378776645792,
IL22RA1,IL22RA1,1,0,0,-2.2745313483937863,-1.25992495290485
IFNLR1,IFNLR1,1,0,0,-2.376330273775748,-3.11071940889654
GRHL3,GRHL3,1,0,0,-1.331918366209134,
STPG1,STPG1,1,0,0,-0.1035756349993111,-0.0559785946272723
NIPAL3,NIPAL3,1,0,0,-0.3105787603985952,-1.83347800234418
RCAN3,RCAN3,1,0,0,-0.28527338800266655,-0.879245903321946
NCMAP,NCMAP,1,0,0,-1.1470564459811623,-0.412878946828077
SRRM1,SRRM1,1,0,0,-2.2862981220164365,-0.757901547372679
CLIC4,CLIC4,1,0,0,0.32437037037864336,0.512821595595565
RUNX3,RUNX3,1,0,0,-3.16056700397181,-4.13258387159179
SYF2,SYF2,1,0,0,0.2860523529666814,0.483564004460666
RSRP1,RSRP1,1,0,0,-2.234354023768077,-2.46569038402101
RHD,RHD,1,0,0,-0.27969129553877004,
TMEM50A,TMEM50A,1,0,0,2.546404597778979,3.26066954309103
RHCE,RHCE,1,0,0,-0.34970890552636824,-0.169825166754494
MACO1,MACO1,1,0,0,-0.5949312633887693,-0.0089910609555879
LDLRAP1,LDLRAP1,1,0,0,-2.401763468581615,-2.07014158531352
MAN1C1,MAN1C1,1,0,0,-2.1139353354224877,-2.34443670179529
SELENON,SELENON,1,0,0,-2.4816267324655055,-3.22391461625303
MTFR1L,MTFR1L,1,0,0,-1.5853161590486682,-2.39436515792603
AUNIP,AUNIP,1,0,0,-0.9517004931901205,
PAQR7,PAQR7,1,0,0,-1.2354954837834278,-0.464775116585365
STMN1,STMN1,1,0,0,-0.8555003736587015,0.686427727136654
PAFAH2,PAFAH2,1,0,0,-0.618020393237126,-0.0440526458209605
EXTL1,EXTL1,1,0,0,-2.1565870685678945,
SLC30A2,SLC30A2,1,0,0,-1.4646764570905244,
TRIM63,TRIM63,1,0,0,-1.7490762226600403,
PDIK1L,PDIK1L,1,0,0,0.39273907543461917,0.83292426748171
FAM110D,FAM110D,1,0,0,-3.3224925525452953,
C1orf232,C1orf232,1,0,0,-1.7725721085850825,
ZNF593,ZNF593,1,0,0,-2.6321929126566967,-1.27469798222485
ZNF593OS,ZNF593OS,1,0,0,-0.9441076003867224,
CNKSR1,CNKSR1,1,0,0,-2.8011193509900814,-4.01446857179793
CATSPER4,CATSPER4,1,0,0,-1.0414425673113872,
CEP85,CEP85,1,0,0,-1.8841970616417427,-1.2663986793216
SH3BGRL3,SH3BGRL3,1,0,0,-2.2820342917087473,-0.837000765069556
UBXN11,UBXN11,1,0,0,-2.5686363879997476,-3.02349548130831
CD52,CD52,1,0,0,-0.8694497067124871,-0.585705314296738
CRYBG2,CRYBG2,1,0,0,-2.7615249894433145,
ZNF683,ZNF683,1,0,0,-2.595881494540752,
LIN28A,LIN28A,1,0,0,-1.6951900372097715,
DHDDS,DHDDS,1,0,0,-1.4084946659791893,-1.25686128643462
HMGN2,HMGN2,1,0,0,0.06410463522469279,-0.98921047327677
RPS6KA1,RPS6KA1,1,0,0,-1.4645475893408726,-1.63063947767193
ARID1A,ARID1A,1,0,0,-2.183535931385576,-2.67632322921391
PIGV,PIGV,1,0,0,-0.12204904588496568,-0.0027580706983861
ZDHHC18,ZDHHC18,1,0,0,-2.304686856872843,-2.691241936615
SFN,SFN,1,0,0,-2.6973043313167757,
GPN2,GPN2,1,0,0,-1.5776694267595648,-1.78175941039419
GPATCH3,GPATCH3,1,0,0,-1.9813670661453937,-2.14491032483755
NR0B2,NR0B2,1,0,0,-2.4993766214307307,-0.610878806339231
NUDC,NUDC,1,0,0,-1.6242399485068493,-0.382695623499313
KDF1,KDF1,1,0,0,-2.5679850463804677,-2.05754067997119
TRNP1,TRNP1,1,0,0,-3.379583504213457,-3.02574921794541
TENT5B,TENT5B,1,0,0,-2.6889547914891896,
SLC9A1,SLC9A1,1,0,0,-1.9363537134043192,-2.35134651660903
WDTC1,WDTC1,1,0,0,-1.6626724404947097,-3.05358892020339
TMEM222,TMEM222,1,0,0,-1.1392502078497238,-0.387496400290531
SYTL1,SYTL1,1,0,0,-3.124109658020041,-5.33267289561225
MAP3K6,MAP3K6,1,0,0,-2.3598061121691245,-3.33815774641249
FCN3,FCN3,1,0,0,-1.7086523035843832,-0.215364165809777
CD164L2,CD164L2,1,0,0,-2.114252825589089,
GPR3,GPR3,1,0,0,-0.8378764837601533,
WASF2,WASF2,1,0,0,-1.7864242000178798,-1.05817914643785
AHDC1,AHDC1,1,0,0,-3.1972729775614948,-3.44029769501241
FGR,FGR,1,0,0,-1.4732721315185682,-4.65673063237107
IFI6,IFI6,1,0,0,-1.3288847034569518,-0.375427121040341
FAM76A,FAM76A,1,0,0,-0.4614237224158053,-0.0289393403006057
STX12,STX12,1,0,0,-1.0388835502403495,0.427197375474059
PPP1R8,PPP1R8,1,0,0,-0.990772217261279,-0.773382780926356
THEMIS2,THEMIS2,1,0,0,-2.6904558283876767,-1.61282627150077
RPA2,RPA2,1,0,0,-0.3873884879567644,0.811326874338832
SMPDL3B,SMPDL3B,1,0,0,-0.8692980330894322,-0.822347044147064
XKR8,XKR8,1,0,0,-1.8067938023816978,-2.4652278313217
EYA3,EYA3,1,0,0,-0.19187189951280814,-0.45005986124575
PTAFR,PTAFR,1,0,0,-0.338131823078367,0.729121303708626
DNAJC8,DNAJC8,1,0,0,-0.1675924843469634,0.233842548261518
ATP5IF1,ATP5IF1,1,0,0,-0.9199447180853113,-0.233085901318078
SESN2,SESN2,1,0,0,-2.3795089941840395,-1.89954675702871
MED18,MED18,1,0,0,-0.36716598434929715,0.277166259127958
PHACTR4,PHACTR4,1,0,0,-1.5923042851834524,-1.33263268611831
RCC1,RCC1,1,0,0,-1.4713362067130564,-2.33412117890302
TRNAU1AP,TRNAU1AP,1,0,0,0.008779829526583072,-0.477721873582895
RAB42,RAB42,1,0,0,-2.5752438380603753,
TAF12,TAF12,1,0,0,-0.674294541383011,-0.353785483943871
GMEB1,GMEB1,1,0,0,-0.9064254630321464,-0.971755419547495
YTHDF2,YTHDF2,1,0,0,-0.29505523790788146,0.702610536891248
OPRD1,OPRD1,1,0,0,-1.632068068074366,
EPB41,EPB41,1,0,0,-0.42086032405995866,-0.592253271501297
TMEM200B,TMEM200B,1,0,0,-3.48535408046944,
SRSF4,SRSF4,1,0,0,-3.08365193555327,-1.99611896546694
MECR,MECR,1,0,0,-1.1958857795611042,-1.02051384474697
PTPRU,PTPRU,1,0,0,-1.991974515311064,-5.32422247482014
MATN1,MATN1,1,0,0,-1.9792747487539373,
LAPTM5,LAPTM5,1,0,0,-0.926292004812467,-0.181562088628278
SDC3,SDC3,1,0,0,-2.6290600246773614,-1.78782154274968
PUM1,PUM1,1,0,0,-0.6285042672141277,-0.725840389401452
NKAIN1,NKAIN1,1,0,0,-1.0765033600927847,
SNRNP40,SNRNP40,1,0,0,-0.3222188865068354,0.225344706910496
