gene_id,gene_name,chromosome,is_Z,te_gene_id,CO_Mega,TE_mean
ENSGALG00010000800,LMO7,1,0,ENSGALG00000016920,-1.4128751688800705,-0.5954854648440996
ENSGALG00010000820,KLF5,1,0,ENSGALG00000016927,-2.1246001008915116,
ENSGALG00010000726,POU4F1,1,0,ENSGALG00000035441,-2.200995580321608,
ENSGALG00010000695,FIGNL1,2,0,ENSGALG00000026363,-1.1025007273395062,
ENSGALG00010001112,TSC22D2,9,0,ENSGALG00000027591,-1.3729593057668916,-2.4069507811234203
ENSGALG00010001136,SERP1,9,0,ENSGALG00000037325,-1.4656678101903435,-0.6840528412434973
ENSGALG00010001497,LEKR1,9,0,INRAGALG00000016915;ENSGALG00000010218;ENSGALG00000052586,-1.6782322184870442,
ENSGALG00010001117,P2RY13,9,0,ENSGALG00000039432,-0.33986877919391156,-1.0597257898648955
ENSGALG00010001491,PHF3,3,0,ENSGALG00000016267,-1.178999000329147,-1.5712843343767893
ENSGALG00010001173,IFT80,9,0,ENSGALG00000009559,-0.09674653414220735,-0.4187406470757267
ENSGALG00010001469,ARHGEF26,9,0,ENSGALG00000010352,-1.6141425592716154,-1.1734558944794211
ENSGALG00010001570,SMPD1,1,0,ENSGALG00000036106,-2.3296726055481094,-1.844985330352292
ENSGALG00010001254,NETO1,2,0,ENSGALG00000041184,-0.5914773374441846,
ENSGALG00010001466,PRKX,1,0,ENSGALG00000042759,0.07968935287943202,-1.2076688216673843
ENSGALG00010001157,TIMM21,2,0,ENSGALG00000013709,-1.2403643630211496,-1.992032054707727
ENSGALG00010001199,AFG3L2,2,0,ENSGALG00000013853,-0.13304892900986853,-0.1176222869899216
ENSGALG00010001161,B3GALNT1,9,0,ENSGALG00000054759,0.7682652052150877,
ENSGALG00010001432,NSMCE4A,6,0,ENSGALG00000009504,-1.7195602289902276,-2.2013076232042548
ENSGALG00010001205,CEP192,2,0,ENSGALG00000035625,-0.7911918226710787,-1.412636618429527
ENSGALG00010001223,GRM8,1,0,ENSGALG00000039403,-0.27094994858935817,
ENSGALG00010001226,VEPH1,9,0,ENSGALG00000051604;ENSGALG00000009682,-1.667420522190684,
ENSGALG00010001373,IMPA2,2,0,ENSGALG00000013814,-0.6350052437717053,-2.514442951067346
ENSGALG00010001484,BMX,1,0,ENSGALG00000016557,-0.5077141216866725,
ENSGALG00010001547,PWWP2B,6,0,ENSGALG00000010491;ALDBGALG0000005000;INRAGALG00000015280,-1.898046142751725,
ENSGALG00010001551,FHIP1B,1,0,ENSGALG00000003416,-2.3998661871171953,-4.532583781117277
ENSGALG00010001195,ZNF608,Z,1,ENSGALG00000005016,-1.3168968345365866,-2.6324618088065983
ENSGALG00010001210,PANX2,1,0,ENSGALG00000000003,-1.1602297553465575,
ENSGALG00010001274,DLGAP1,2,0,ENSGALG00000014793,-2.0216642057095027,
ENSGALG00010001229,ZNF407,2,0,ENSGALG00000036128,-0.9261092228023013,
ENSGALG00010001368,WIPF3,2,0,ENSGALG00000011170;ALDBGALG0000002163,-1.9247802189653709,
ENSGALG00010001546,CGAS,3,0,ENSGALG00000015925,-1.28992704464102,-0.7098753842159986
ENSGALG00010001142,PPM1L,9,0,ENSGALG00000052162,-1.3939741326964756,
ENSGALG00010001187,GFM1,9,0,ENSGALG00000009634,-0.25132358037553826,0.3220907027467975
ENSGALG00010001129,TM4SF4,9,0,ENSGALG00000010427,0.14228136514129142,0.3871646050548389
ENSGALG00010001298,DOCK4,1,0,ENSGALG00000009480,-1.0703227454196993,-1.838854966274539
ENSGALG00010001427,ASB11,1,0,ENSGALG00000016562,-0.5881236814311447,
ENSGALG00010001158,FRMPD1,Z,1,ENSGALG00000054942;ENSGALG00000052152;ENSGALG00000023036,-1.9275447248209296,
ENSGALG00010001154,ZADH2,2,0,ENSGALG00000022882,-0.5990744882036421,-0.8007148255620988
ENSGALG00010001306,CEP120,Z,1,ENSGALG00000047872;ENSGALG00000005368,-0.9706156727038517,
ENSGALG00010001313,EMILIN2,2,0,ENSGALG00000032997,-1.0367674874483053,-1.1342518836035849
ENSGALG00010001152,FEM1C,Z,1,ENSGALG00000008204,-0.2022130519881138,-0.0292442756236083
ENSGALG00010001234,AASS,1,0,ENSGALG00000008953,-0.13436183437081128,0.7768630394885336
ENSGALG00010001552,TUBGCP6,1,0,ENSGALG00000032156,-0.8760307874146077,-0.6186312550985691
ENSGALG00010001460,MALSU1,2,0,ENSGALG00000010954,-1.0001431234512919,0.1536017629252286
ENSGALG00010001527,STK32C,6,0,ENSGALG00000020615,-1.9800778675931072,
ENSGALG00010001146,FAM69C,2,0,ENSGALG00000013703,-1.598933369187118,
ENSGALG00010001364,SMCHD1,2,0,ENSGALG00000014811,-0.014836386490730047,-0.5097176792915953
ENSGALG00010001504,RBMS3,2,0,ENSGALG00000011439;ALDBGALG0000002175,-0.93814904106204,
ENSGALG00010001381,MDFIC,1,0,ENSGALG00000026838,-1.6890854386127332,-1.431993470077196
ENSGALG00010001499,TIPARP,9,0,ENSGALG00000010256,-1.4358755987445797,-1.2072798915956109
ENSGALG00010001480,JAKMIP3,6,0,ENSGALG00000010486;ENSGALG00000038267,-1.8359031591188526,
ENSGALG00010001507,METTL4,2,0,ENSGALG00000014799,-0.6316729145461567,-0.5620479895330563
ENSGALG00010001333,PLCH1,9,0,ENSGALG00000010312,-1.3207017702345107,
ENSGALG00010001137,OTOL1,9,0,,-1.1407528479484954,
ENSGALG00010001123,CP,9,0,ENSGALG00000030773,0.08785399566623087,1.1161908863684076
ENSGALG00010001465,TACC2,6,0,NONGGAG004813;INRAGALG00000015177;ENSGALG00000032373,-1.7794443654447847,
ENSGALG00010001171,POLR1E,Z,1,ENSGALG00000005395,-0.8296756281235691,-0.7190808170762795
ENSGALG00010001398,WDR11,6,0,ENSGALG00000035013,-0.7492444800852571,-0.3077376706808852
ENSGALG00010001120,GPR87,9,0,ENSGALG00000010377,-0.7462942086418441,
ENSGALG00010001320,CPED1,1,0,ENSGALG00000009002;ENSGALG00000025216,-1.2052768059373906,
ENSGALG00010001334,EBF3,6,0,ENSGALG00000010461,-0.8613066238710694,
ENSGALG00010001535,RAP2B,9,0,ENSGALG00000042553,-2.5422799033373744,-2.3857480148089643
ENSGALG00010001128,ERICH6,9,0,,-1.6217409705710417,
ENSGALG00010001414,CCDC126,2,0,ENSGALG00000010976,0.21242756025340437,-0.0619122034523089
ENSGALG00010001516,TMEM27,1,0,ENSGALG00000029168,0.16594934869752953,0.606857768419173
ENSGALG00010001148,C18orf63,2,0,INRAGALG00000007563;ENSGALG00000044510,-0.6984485952232442,
ENSGALG00010001409,GPNMB,2,0,ENSGALG00000010949,-0.3719037426125882,
ENSGALG00010001513,ZRSR2,1,0,ENSGALG00000016552,-1.908566978856054,-1.3896277074394496
ENSGALG00010001526,PPP1R3A,1,0,ENSGALG00000009435,-0.8329027392322009,
ENSGALG00010001182,ZCCHC7,Z,1,ENSGALG00000028675,-1.413557200765371,-1.810025995582784
ENSGALG00010001380,SCRN1,2,0,ENSGALG00000011176,-0.7352891598440637,-0.9615367017838728
ENSGALG00010001542,MTO1,3,0,INRAGALG00000011396;ENSGALG00000015923,-1.7881727713300402,
ENSGALG00010001286,SRFBP1,Z,1,ENSGALG00000005316,-0.4327757370148162,0.0325536247888235
ENSGALG00010001567,INPP5A,6,0,INRAGALG00000015281;INRAGALG00000015285;ENSGALG00000010493,-0.3300716771527442,
ENSGALG00010001191,TOMM5,Z,1,ENSGALG00000026300,-1.6729548646656194,-0.3156571778287556
ENSGALG00010001358,TCERG1L,6,0,ENSGALG00000010470,-1.0740798798964888,
ENSGALG00010001179,GRHPR,Z,1,ENSGALG00000005423,-1.9180025802914797,-0.7392004855392807
ENSGALG00010001188,PSMG2,2,0,ENSGALG00000013863,0.045115654889371304,0.4063724230627061
ENSGALG00010001147,PGGT1B,Z,1,ENSGALG00000008197,-0.5582105721571403,0.0651213113114543
ENSGALG00010001151,CCDC112,Z,1,ENSGALG00000045092,-0.5430554455108433,-2.195612627561311
ENSGALG00010001119,COMMD2,9,0,ENSGALG00000028001,-1.4146235391377147,0.057978756066056
ENSGALG00010001156,ALDH7A1,Z,1,ENSGALG00000008229,-0.28291615909662593,-0.3596148898299111
ENSGALG00010001140,NMD3,9,0,ENSGALG00000009533,-1.0393951563061603,0.2637275449514317
ENSGALG00010001386,FKBP14,2,0,ENSGALG00000011181,-0.7527199077463285,-2.5003514429113918
ENSGALG00010001447,GFRAL,3,0,ENSGALG00000016296,-0.9502572836590016,
ENSGALG00010001524,ACE2,1,0,ENSGALG00000016554,-0.35053840339414744,-0.1597062490533058
ENSGALG00010001121,WWTR1,9,0,ENSGALG00000010412,-1.4801227721665846,-0.7520145969640424
ENSGALG00010001463,DSEL,2,0,ENSGALG00000032841;ENSGALG00000042505,-0.10984200389181986,
ENSGALG00010001127,SIAH2,9,0,ENSGALG00000010395,-1.7183300563872672,-1.7378709149138547
ENSGALG00010001215,PRDM6,Z,1,ENSGALG00000005351,-2.5420244718616805,
ENSGALG00010001178,ZBTB5,Z,1,ENSGALG00000005354;ALDBGALG0000005961,-1.5773742794556616,
ENSGALG00010001521,TBC1D5,2,0,ENSGALG00000011251,-1.0474707306530648,-1.2004232095855871
ENSGALG00010001420,FAM221A,2,0,ENSGALG00000010977,-1.0060536720936202,
ENSGALG00010001534,SLITRK3,9,0,INRAGALG00000016878;ENSGALG00000042159,-2.3295739330324903,
ENSGALG00010001213,PPIC,Z,1,ENSGALG00000005346,-0.13198804387368746,-1.2509351475446802
ENSGALG00010001512,PLCL2,2,0,ENSGALG00000011248,-0.3356875905022749,-1.2834057731668695
ENSGALG00010001206,RSRC1,9,0,INRAGALG00000016908;ENSGALG00000009669,-1.7246325560562616,
ENSGALG00010001170,DCAF10,Z,1,ENSGALG00000005390,-1.4439916122567091,-1.965650670103393
ENSGALG00010001145,TRIM36,Z,1,ENSGALG00000008188,-0.8995135929306074,-1.333728355488894
ENSGALG00010001168,DOK6,2,0,INRAGALG00000102499;INRAGALG00000102500;ENSGALG00000013753;ENSGALG00000025218,-1.1801199364436388,
ENSGALG00010001462,DHX36,9,0,ENSGALG00000043082,-0.837786612528879,-0.6518063575733561
ENSGALG00010001479,TMEM168,1,0,ENSGALG00000009443,-0.006243103974871711,-0.091088199339775
ENSGALG00010001279,LPIN2,2,0,ENSGALG00000014836,-0.5538675386559351,-0.5200692294128324
ENSGALG00010001238,GOLIM4,9,0,ENSGALG00000045246,-2.0793155414066593,-0.6019817941940783
ENSGALG00010001220,PLXNB2,1,0,ENSGALG00000039861;INRAGALG00000000361,-0.3718029151124521,
ENSGALG00010001418,RNMT,2,0,ENSGALG00000013889,-0.011337309624315561,-0.0377658215203893
ENSGALG00010001131,HPS3,9,0,INRAGALG00000016958;ENSGALG00000040089,-0.6031947871429577,
ENSGALG00010001559,HDAC10,1,0,ENSGALG00000051829;ENSGALG00000051043;ENSGALG00000041251,-0.0746292085295468,
ENSGALG00010001308,MGMT,6,0,ENSGALG00000042949,-1.5865472402030862,-0.2539044922338959
ENSGALG00010001163,ARL14,9,0,ENSGALG00000043623,-0.27150143656766723,
ENSGALG00010001216,SHOX2,9,0,ENSGALG00000039728,-2.3361036643887645,
ENSGALG00010001172,TMEM200C,2,0,ENSGALG00000054659;ENSGALG00000052336,-2.5771874792126948,
ENSGALG00010001177,SEH1L,2,0,ENSGALG00000013872,-1.033716919345332,-0.4088499710689744
ENSGALG00010001268,CBLN2,2,0,ENSGALG00000028682,-1.7878682472928824,
ENSGALG00010001125,CLRN1,9,0,ENSGALG00000010384,-1.6087205026843487,
ENSGALG00010001118,P2RY12,9,0,ENSGALG00000036470;NONGGAG010821;ENSGALG00000039432,-0.20712680400608108,
ENSGALG00010001495,CCNL1,9,0,ENSGALG00000009699,-2.0557267582512733,-2.4574102864346576
ENSGALG00010001126,FAM188B2,9,0,ENSGALG00000048493,-2.0707092679182275,
ENSGALG00010001252,SNCAIP,Z,1,ENSGALG00000005330,-1.6685758414924132,-1.7863890110973846
ENSGALG00010001235,CCDC102B,2,0,ENSGALG00000019509,-1.210867665705007,
ENSGALG00010001160,TRMT10B,Z,1,INRAGALG00000025208;ENSGALG00000029118,-1.6060959854023578,
ENSGALG00010001180,SPIRE1,2,0,ENSGALG00000013817;ENSGALG00000051319;ENSGALG00000030782,-2.1294175322417948,
ENSGALG00010001281,LRRN3,1,0,ENSGALG00000009488;NONGGAG007422,-0.2088118413125929,
ENSGALG00010001553,CNGA4,1,0,ENSGALG00000022704,-2.357337326546978,-4.472125095642381
ENSGALG00010001395,GNAL,2,0,ENSGALG00000013785;NONGGAG002494;ENSGALG00000034490,-0.5849276633099925,
ENSGALG00010001196,LSMEM1,1,0,ENSGALG00000009446,0.22341614024418355,
ENSGALG00010001556,EPB41L3,2,0,ENSGALG00000038678,-1.2121482542385447,-0.8001045261822106
ENSGALG00010001287,PLPP4,6,0,ENSGALG00000029020;ENSGALG00000040445,-0.22617178829004358,
ENSGALG00010001153,TSHZ1,2,0,ENSGALG00000013672;INRAGALG00000007537,-1.5073669483332495,
ENSGALG00010001231,CNDP1,2,0,ENSGALG00000013697,-0.3159632628958178,
ENSGALG00010001221,GRAMD3,Z,1,ENSGALG00000008237,-1.0799863797843219,-1.6517361914792723
ENSGALG00010001305,WNT16,1,0,ENSGALG00000028069,-2.1074991954355387,
ENSGALG00010001486,WNT2,1,0,ENSGALG00000030173,-1.6919288217031005,
ENSGALG00010001197,CEP76,2,0,ENSGALG00000013858,-0.5155488275085318,-0.5802147897447728
ENSGALG00010001441,HMGCLL1,3,0,ENSGALG00000016294,0.46764606277873877,-0.1668085713157109
ENSGALG00010001470,GPR85,1,0,ENSGALG00000009439,-0.08030531342471192,
ENSGALG00010001336,C7orf31,2,0,ENSGALG00000011021,-1.295223029364294,
ENSGALG00010001114,MED12L,9,0,ENSGALG00000010370;ENSGALG00000038275,-1.5926427607466067,
ENSGALG00010001208,MOV10L1,1,0,ENSGALG00000033664,-0.28497131620119476,
ENSGALG00010001382,BNIP3,6,0,ENSGALG00000010476,-1.8391402289190364,-0.7529912961254506
ENSGALG00010001508,CD109,3,0,INRAGALG00000103682;ENSGALG00000015910,-0.22557557702956166,
ENSGALG00010002455,NYX,1,0,ENSGALG00000016228;INRAGALG00000002035;INRAGALG00000002037,-2.019585071302335,
ENSGALG00010001750,EFHB,2,0,ENSGALG00000011267;107049345,0.31555202170682095,
ENSGALG00010002453,TOP2B,2,0,ENSGALG00000011300,0.09844535185636416,-0.8005304232499071
ENSGALG00010002536,RGL2,16,0,,-3.0612044119567834,
ENSGALG00010001925,FRMPD4,1,0,ENSGALG00000033541,-0.8852078725082033,
ENSGALG00010001656,GLRA2,1,0,ENSGALG00000016571,-0.3906856690559377,
ENSGALG00010002432,RAVER1,30,0,ENSGALG00000050608,-2.3923247850452025,
ENSGALG00010002277,RGS10,6,0,ENSGALG00000009422,-1.0871617013308215,0.1757427444190518
ENSGALG00010002470,OXSM,2,0,ENSGALG00000011312,-0.33907402283414434,-0.3836958884237317
ENSGALG00010001755,CUZD1,6,0,ENSGALG00000038254,-0.5355301404280248,
ENSGALG00010002462,RRM2,3,0,ENSGALG00000016442,-0.6923065985696427,-0.0775009137542305
ENSGALG00010001770,PP2D1,2,0,ENSGALG00000044362,-0.4384973107309309,
ENSGALG00010002383,INPP5F,6,0,ENSGALG00000009445,-0.7198505351113006,-0.566033076183708
ENSGALG00010002231,TMEM14A,3,0,ENSGALG00000019894,1.0862229664390517,2.128849486539385
ENSGALG00010001807,ASMTL,1,0,ENSGALG00000016689,-0.4307896400486893,0.745287757564916
ENSGALG00010002581,ATP13A1,30,0,ENSGALG00000032815,-1.4362660475961349,-0.9475796986490695
ENSGALG00010001728,STS,1,0,INRAGALG00000002289;INRAGALG00000100862;ENSGALG00000016622,-0.36310506809245363,
ENSGALG00010002345,SCML2,1,0,ENSGALG00000016537,-0.618958669034648,-3.1240909752105224
ENSGALG00010002160,CAPN5,1,0,,-1.5159494177908641,
ENSGALG00010002487,BCCIP,6,0,ENSGALG00000006617,-1.175890408358894,-1.0555858318183255
ENSGALG00010002065,CLNS1A,1,0,ENSGALG00000008574;ENSGALG00000048564,-1.3740979309774632,
ENSGALG00010001702,PLEKHA1,6,0,INRAGALG00000015179;ENSGALG00000034548,-0.6588412912552294,
ENSGALG00010002608,RPP38,2,0,ENSGALG00000008794,-0.5019348428461974,-0.2799194200666739
ENSGALG00010002466,UROS,6,0,ENSGALG00000013688,-0.887916513075644,0.2714192833202654
ENSGALG00010002437,TTK,3,0,ENSGALG00000015874;ENSGALG00000025379,-0.371790814413568,
ENSGALG00010002005,COLQ,2,0,ENSGALG00000011202;ENSGALG00000054805;INRAGALG00000102365,-0.9867048125282529,
ENSGALG00010002367,STK31,2,0,ENSGALG00000010980,-0.45103091834200926,
ENSGALG00010002138,MYO7A,1,0,ENSGALG00000031450,-1.1119656075429236,-1.1821498872764478
ENSGALG00010001918,CNKSR2,1,0,ENSGALG00000016391,-1.2417149347348413,
